                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1611,                0.63194,                  1.392,                0.96448,                0.96477,                0.98576,                 0.7338,                 1.0685,                0.49341,                 1.3803,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1574,                0.62849,                 1.3977,                0.96846,                 0.9641,                0.98616,                0.73758,                 1.0644,                0.48747,                 1.3733,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1413,                0.62237,                 1.3844,                0.96427,                0.96551,                0.98533,                0.73597,                 1.0563,                 0.4888,                 1.3726,               0.000467,               0.000467,               0.000467
                     71,                 1.1515,                 0.6235,                 1.3891,                0.96667,                0.96305,                0.98593,                0.73896,                 1.0555,                0.48605,                 1.3696,             0.00045285,             0.00045285,             0.00045285
                     72,                  1.147,                0.61942,                 1.3953,                0.96817,                0.96583,                0.98662,                0.73953,                  1.051,                 0.4856,                 1.3639,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1379,                0.61861,                 1.3749,                0.96522,                0.96692,                 0.9866,                0.74578,                 1.0335,                0.48064,                 1.3555,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1324,                0.60781,                 1.3794,                0.97031,                0.96683,                0.98702,                0.74623,                 1.0247,                 0.4726,                 1.3458,             0.00041041,             0.00041041,             0.00041041
                     75,                  1.125,                0.60858,                 1.3766,                0.97279,                0.96873,                0.98804,                0.74509,                  1.022,                0.47062,                 1.3436,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1199,                0.60026,                 1.3686,                0.96869,                0.96597,                0.98794,                0.74876,                 1.0137,                0.47388,                   1.34,             0.00038211,             0.00038211,             0.00038211
                     77,                   1.13,                0.60452,                 1.3814,                0.96628,                0.96697,                0.98774,                0.75139,                 1.0138,                0.46614,                 1.3345,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1257,                0.60671,                 1.3714,                0.97111,                0.97021,                0.98785,                0.75089,                 1.0055,                0.46911,                 1.3295,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1052,                 0.5926,                 1.3627,                0.96675,                0.96966,                0.98835,                0.75288,                0.98836,                0.46166,                 1.3206,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.1028,                0.59455,                 1.3481,                0.96982,                 0.9703,                0.98896,                0.75546,                0.98857,                0.45879,                 1.3208,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.1016,                0.59737,                 1.3517,                0.96964,                0.97179,                0.98849,                0.75612,                0.98299,                0.45887,                 1.3114,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0973,                0.58371,                  1.354,                0.97342,                0.97198,                 0.9894,                0.75886,                0.97265,                0.45116,                  1.306,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0873,                0.57901,                 1.3493,                0.96994,                0.97261,                0.98921,                0.76031,                 0.9724,                0.45087,                 1.3053,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0919,                0.58378,                 1.3534,                0.97329,                0.97093,                0.98967,                 0.7611,                0.96693,                0.45097,                 1.3027,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0939,                0.58253,                  1.348,                0.97032,                0.97385,                0.98989,                0.76297,                0.96147,                0.44512,                 1.2993,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0733,                 0.5707,                 1.3459,                0.97395,                0.97209,                0.98973,                0.76512,                0.95116,                0.44203,                 1.2893,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0823,                0.58678,                 1.3439,                0.97216,                0.97332,                0.98923,                0.76541,                0.95069,                0.44309,                 1.2849,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.0714,                0.56953,                 1.3319,                0.97227,                0.97189,                0.98977,                0.76533,                0.94656,                0.44377,                 1.2835,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0677,                0.57049,                  1.335,                0.97385,                0.97247,                0.99009,                0.76707,                0.93951,                0.43951,                 1.2808,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0611,                0.56337,                 1.3314,                0.97531,                0.97315,                0.99036,                0.76919,                0.93336,                0.43515,                 1.2771,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0461,                0.49991,                 1.3504,                 0.9729,                0.97376,                0.99041,                 0.7667,                 0.9326,                0.43619,                 1.2723,             0.00016991,             0.00016991,             0.00016991
